"","SPY.Adjusted"
"343",0.00206205243187796
"344",0.0124254725449777
"345",0.000911768156096393
"346",0.00272958643987931
"347",-0.00814190615277166
"348",-0.0170594021767565
"349",0.00014363388406835
"350",-0.0134949454000708
"351",0.00738314990782918
"352",0.00460501389727952
"353",0.00501264781339472
"354",0.00249679798682223
"355",-0.0103846098659544
"356",-0.00584882247365748
"357",-0.000506842903847726
"358",0.01979954868081
"359",-0.0324133352773304
"360",0.0024180995010612
"361",-0.00498950983676671
"362",-0.01482173476436
"363",0.00380036955803487
"364",0.0125647212331561
"365",0.000587628696600895
"366",-0.00485644816873076
"367",-0.00978453016059166
"368",0.00126563723252016
"369",-0.0163647941628504
"370",-0.000988760065813388
"371",-0.00197987432517621
"372",0.00471492414391594
"373",-0.0275358915789843
"374",-0.00547387455023696
"375",0.00352233900920496
"376",0.00312055905679554
"377",-0.017285232435861
"378",0.00102965745716865
"379",-0.0102653143102369
"380",0.0176015155410214
"381",-0.0194429773101588
"382",0.00407875508300304
"383",-0.0117208833284614
"384",-0.00908455582221368
"385",-0.0141979015146108
"386",0.0242512319214496
"387",0.00995364703955204
"388",0.00621071279129826
"389",0.000555324007764924
"390",0.0112809476626818
"391",0.00539802212170759
"392",-0.0209720986280084
"393",-0.000239057878872906
"394",-0.0147723788512968
"395",0.0211276268574681
"396",0.0176605595019232
"397",-0.0133142039415235
"398",-0.00529701506123903
"399",-0.00931719485532767
"400",0.0266049168345228
"401",0.00443094789897636
"402",-0.0150037974581432
"403",0.0184106851944774
"404",0.0103047845713826
"405",-0.01045897432906
"406",-0.00604863501566388
"407",0.00751607328344583
"408",0.00485149256134765
"409",-0.0137686570493454
"410",-0.0109642689851253
"411",0.00463543865453531
"412",0.001723145332722
"413",0.0143716798717577
"414",-0.0204938999938991
"415",0.00290855356922037
"416",0.00968685837543592
"417",0.0120549568846311
"418",-0.0108119325483296
"419",-0.00623107191580008
"420",-0.000859628464564999
"421",-0.030568802651822
"422",0.00313927393082025
"423",0.0204454289552931
"424",-0.0301370549820241
